countryiso3code,date,value
BLZ,2017.0,216.13
BLZ,2018.0,213.827
BLZ,2019.0,212.235
BLZ,2020.0,0.0
BMU,1990.0,0.0
BMU,1991.0,0.0
BMU,1992.0,0.0
BMU,1993.0,0.0
BMU,1994.0,0.0
BMU,1995.0,0.0
BMU,1996.0,0.0
BMU,1997.0,0.0
BMU,1998.0,0.0
BMU,1999.0,0.0
BMU,2000.0,0.0
BMU,2001.0,0.0
BMU,2002.0,0.0
BMU,2003.0,0.0
BMU,2004.0,0.0
BMU,2005.0,0.0
BMU,2006.0,0.0
BMU,2007.0,0.0
BMU,2008.0,0.0
BMU,2009.0,0.0
BMU,2010.0,0.0
BMU,2011.0,0.0
BMU,2012.0,0.0
BMU,2013.0,0.0
BMU,2014.0,0.0
BMU,2015.0,0.0
BMU,2016.0,0.0
BMU,2017.0,0.0
BMU,2018.0,0.0
BMU,2019.0,0.0
BMU,2020.0,0.0
BOL,1990.0,316.573
BOL,1991.0,311.878
BOL,1992.0,307.184
BOL,1993.0,302.697
BOL,1994.0,298.209
BOL,1995.0,293.722
BOL,1996.0,289.235
BOL,1997.0,284.747
BOL,1998.0,280.535
BOL,1999.0,276.323
BOL,2000.0,272.111
BOL,2001.0,267.9
BOL,2002.0,263.688
BOL,2003.0,259.836
BOL,2004.0,255.983
BOL,2005.0,252.131
BOL,2006.0,248.279
BOL,2007.0,244.427
BOL,2008.0,240.307
BOL,2009.0,236.186
BOL,2010.0,232.066
BOL,2011.0,227.946
BOL,2012.0,223.826
BOL,2013.0,221.459
BOL,2014.0,219.093
BOL,2015.0,216.726
BOL,2016.0,214.36
BOL,2017.0,211.993
BOL,2018.0,219.194
BOL,2019.0,217.09
BOL,2020.0,0.0
BRA,1990.0,289.956
BRA,1991.0,288.233
BRA,1992.0,286.51
BRA,1993.0,281.793
BRA,1994.0,277.076
BRA,1995.0,272.36
BRA,1996.0,267.643
BRA,1997.0,262.926
BRA,1998.0,257.794
BRA,1999.0,252.662
BRA,2000.0,247.531
BRA,2001.0,242.399
BRA,2002.0,237.267
BRA,2003.0,233.267
BRA,2004.0,229.267
BRA,2005.0,225.268
BRA,2006.0,221.268
BRA,2007.0,217.268
BRA,2008.0,214.047
BRA,2009.0,210.825
BRA,2010.0,207.604
BRA,2011.0,204.383
